Votes,Rank,Title,Year,Country,Genre
"1242346","9.2","The Shawshank Redemption","1994","USA","Crime-Drama"
"858706","9.2","The Godfather","1972","USA","Crime-Drama"
"569013","9.0","The Godfather: Part II","1974","USA","Crime-Drama"
"1204809","8.9","The Dark Knight","2008","UK","Action-Adventure-Thriller"
"953232","8.9","Pulp Fiction","1994","USA","Crime-Drama-Thriller"
"372162","8.9","Il buono il brutto il cattivo.","1966","Italy-Spain-Germany","Adventure-Western"
"627356","8.9","Schindler's List","1993","USA","Biography-Drama-History"
"309823","8.9","12 Angry Men","1957","USA","Drama"
"885169","8.9","The Lord of the Rings: The Return of the King","2003","USA","Action-Adventure-Fantasy"
"945008","8.8","Fight Club","1999","USA","Drama"
"911677","8.8","The Lord of the Rings: The Fellowship of the Ring","2001","USA","Action-Adventure-Fantasy"
"588007","8.8","Star Wars: Episode V - The Empire Strikes Back","1980","USA","Action-Adventure-Fantasy-SciFi"
"992474","8.7","Inception","2010","USA","Action-Adventure-Mystery-SciFi-Thriller"
"845581","8.7","Forrest Gump","1994","USA","Drama-Romance"
"514244","8.7","One Flew Over the Cuckoo's Nest","1975","USA","Drama"
"796472","8.7","The Lord of the Rings: The Two Towers","2002","USA","Action-Adventure-Fantasy"
"539421","8.7","Goodfellas","1990","USA","Biography-Crime-Drama"
"658187","8.7","Star Wars","1977","USA","Action-Adventure-Fantasy-SciFi"
"879293","8.7","The Matrix","1999","USA","Action-SciFi"
"179425","8.7","Shichinin no samurai","1954","Japan","Adventure-Drama"
"404905","8.7","Cidade de Deus","2002","Brazil-France-USA","Crime-Drama"
"724736","8.6","Se7en","1995","USA","Crime-Mystery-Thriller"
"546992","8.6","The Usual Suspects","1995","USA-Germany","Crime-Drama-Thriller"
"614661","8.6","The Silence of the Lambs","1991","USA","Crime-Drama-Thriller"
"164354","8.6","C'era una volta il West","1968","Italy-USA","Western"
"205376","8.6","It's a Wonderful Life","1946","USA","Drama-Family-Fantasy"
"525207","8.6","Léon","1994","France","Crime-Drama-Thriller"
"306783","8.6","Casablanca","1942","USA","Drama-Romance-War"
"281622","8.6","La vita è bella","1997","Italy-Germany-UK","Comedy-Drama-Romance"
"491770","8.6","Raiders of the Lost Ark","1981","USA","Action-Adventure"
"577198","8.5","American History X","1998","USA","Crime-Drama"
"310319","8.5","Psycho","1960","USA","Horror-Mystery-Thriller"
"238291","8.5","Rear Window","1954","USA","Mystery-Thriller"
"74361","8.5","City Lights","1931","USA","Comedy-Drama-Romance"
"627654","8.5","Saving Private Ryan","1998","USA","Action-Drama-War"
"290534","8.5","Sen to Chihiro no kamikakushi","2001","Japan","Adventure-Animation-Family-Fantasy"
"314790","8.5","Intouchables","2011","France","Biography-Comedy-Drama"
"630329","8.5","Memento","2000","USA","Mystery-Thriller"
"96909","8.5","Modern Times","1936","USA","Comedy"
"548307","8.5","Terminator 2: Judgment Day","1991","USA-France","Action-SciFi-Thriller"
"105957","8.5","Sunset Blvd.","1950","USA","Drama-FilmNoir"
"348017","8.5","The Pianist","2002","USA","Biography-Drama"
"272352","8.5","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","UK","Comedy-War"
"345703","8.5","Apocalypse Now","1979","USA","Drama-War"
"524909","8.5","The Green Mile","1999","USA","Crime-Drama-Fantasy-Mystery"
"626207","8.5","The Departed","2006","USA","Crime-Drama-Thriller"
"693948","8.5","Gladiator","2000","USA-UK","Action-Drama"
"501868","8.5","Back to the Future","1985","USA","Adventure-Comedy-SciFi"
"408424","8.5","Alien","1979","USA","Horror-SciFi"
"800621","8.5","The Dark Knight Rises","2012","USA-UK","Action-Adventure"
"584363","8.4","The Prestige","2006","USA-UK","Drama-Mystery-Thriller"
"614770","8.4","Django Unchained","2012","USA","Western"
"194636","8.4","Das Leben der Anderen","2006","Germany","Drama-Thriller"
"93456","8.4","The Great Dictator","1940","USA","Comedy-Drama-War"
"437511","8.4","The Shining","1980","UK-USA","Horror"
"432680","8.4","The Lion King","1994","USA","Adventure-Animation-Drama-Family-Musical"
"108896","8.4","Nuovo Cinema Paradiso","1988","Italy-France","Drama"
"88730","8.4","Paths of Glory","1957","USA","Drama-War"
"627047","8.4","American Beauty","1999","USA","Drama"
"500219","8.4","WALL·E","2008","USA","Adventure-Animation-Family-Romance-SciFi"
"171784","8.4","North by Northwest","1959","USA","Adventure-Mystery-Thriller"
"396148","8.4","Le fabuleux destin d'Amélie Poulain","2001","France-Germany","Comedy-Romance"
"235843","8.4","Citizen Kane","1941","USA","Drama-Mystery"
"369587","8.4","Aliens","1986","USA","Action-Adventure-SciFi-Thriller"
"183785","8.4","Vertigo","1958","USA","Mystery-Thriller-Romance"
"376138","8.4","Toy Story 3","2010","USA","Adventure-Animation-Comedy-Family-Fantasy"
"76326","8.4","M","1931","Germany-USA-UK","Crime-Drama-Thriller"
"131760","8.4","Das Boot","1981","Germany","Adventure-Drama-War"
"402523","8.4","A Clockwork Orange","1971","USA-UK","Crime-Drama-SciFi"
"258627","8.4","Oldeuboi","2003","South Korea","Drama-Mystery-Thriller"
"368536","8.4","Taxi Driver","1976","USA","Crime-Drama"
"158760","8.4","Mononoke-hime","1997","Japan","Adventure-Animation-Fantasy"
"74068","8.4","Double Indemnity","1944","USA","Crime-Drama-FilmNoir"
"466752","8.4","Star Wars: Episode VI - Return of the Jedi","1983","USA","Action-Adventure-Fantasy-SciFi"
"474242","8.4","Reservoir Dogs","1992","USA","Crime-Drama"
"166236","8.4","Once Upon a Time in America","1984","Italy-USA","Drama-Crime"
"430804","8.4","Requiem for a Dream","2000","USA","Drama"
"161968","8.4","To Kill a Mockingbird","1962","USA","Drama"
"544943","8.4","Braveheart","1995","USA","Action-Biography-Drama-History-War"
"90659","8.4","Hotaru no haka","1988","Japan","Animation-Drama-War"
"146112","8.4","Lawrence of Arabia","1962","UK","Adventure-Biography-Drama-History-War"
"495388","8.3","Eternal Sunshine of the Spotless Mind","2004","USA","Drama-Romance-SciFi"
"42980","8.3","Witness for the Prosecution","1957","USA","Crime-Drama-Mystery"
"349726","8.3","Full Metal Jacket","1987","USA-UK","Drama-War"
"112744","8.3","Singin' in the Rain","1952","USA","Comedy-Drama-Romance-Musical"
"132796","8.3","The Sting","1973","USA","Comedy-Crime-Drama"
"67299","8.3","Ladri di biciclette","1948","Italy","Drama"
"295047","8.3","Monty Python and the Holy Grail","1975","UK","Adventure-Comedy-Fantasy"
"205933","8.3","Amadeus","1984","USA","Biography-Drama-Music"
"452151","8.3","Snatch","2000","UK","Crime-Comedy-Thriller"
"64272","8.3","All About Eve","1950","USA","Drama"
"77315","8.3","Rashômon","1950","Japan","Crime-Drama-Mystery"
"331527","8.3","L.A. Confidential","1997","USA","Crime-Drama-Mystery-Thriller"
"61539","8.3","The Treasure of the Sierra Madre","1948","USA","Action-Adventure-Drama-Western"
"81291","8.3","The Apartment","1960","USA","Comedy-Drama-Romance"
"134924","8.3","Some Like It Hot","1959","USA","Comedy"
"109843","8.3","Per qualche dollaro in più","1965","Italy-Spain-Germany","Western"
"88826","8.3","The Third Man","1949","UK","FilmNoir-Mystery-Thriller"
"589276","8.3","Inglourious Basterds","2009","USA-Germany","Adventure-Drama-War"
"379171","8.3","Indiana Jones and the Last Crusade","1989","USA","Action-Adventure"
"43502","8.3","The Kid","1921","USA","Comedy-Drama-Family"
"111262","8.3","Jodaeiye Nader az Simin","2011","Iran","Drama"
"307326","8.3","2001: A Space Odyssey","1968","USA-UK","Adventure-Mystery-SciFi"
"688454","8.3","Batman Begins","2005","USA-UK","Action-Adventure"
"55730","8.3","Yôjinbô","1961","Japan","Action-Adventure-Drama-Thriller"
"84436","8.3","Metropolis","1927","Germany","Drama-SciFi"
"178618","8.3","X-Men: Days of Future Past","2014","USA-UK","Action-Adventure-SciFi-Thriller"
"213863","8.3","Unforgiven","1992","USA","Western"
"179715","8.3","Raging Bull","1980","USA","Biography-Drama-Sport"
"432095","8.3","Toy Story","1995","USA","Adventure-Animation-Comedy-Family-Fantasy"
"166829","8.3","Chinatown","1974","USA","Drama-Mystery-Thriller"
"396484","8.3","Scarface","1983","USA","Crime-Drama"
"450421","8.3","Up","2009","USA","Adventure-Animation-Drama-Family-Romance"
"449890","8.2","Die Hard","1988","USA","Action-Thriller"
"192349","8.2","Der Untergang","2004","Germany-Italy-Austria-Russia","Biography-Drama-History-War"
"125000","8.2","The Great Escape","1963","USA","Adventure-Drama-History-War"
"390926","8.2","The Wolf of Wall Street","2013","USA","Biography-Comedy-Crime-Drama"
"60281","8.2","Mr. Smith Goes to Washington","1939","USA","Drama"
"353882","8.2","El laberinto del fauno","2006","Spain-Mexico","Drama-Fantasy-War"
"53948","8.2","Taare Zameen Par","2007","India","Drama-Family"
"76960","8.2","On the Waterfront","1954","USA","Crime-Drama-Thriller"
"113911","8.2","The Bridge on the River Kwai","1957","UK-USA","Adventure-Drama-War"
"337269","8.2","Heat","1995","USA","Action-Crime-Drama-Thriller"
"98325","8.2","Jagten","2012","Denmark","Drama"
"114991","8.2","3 Idiots","2009","India","Comedy-Drama"
"84318","8.2","Det sjunde inseglet","1957","Sweden","Drama-Fantasy"
"47640","8.2","Smultronstället","1957","Sweden","Drama"
"125137","8.2","The Elephant Man","1980","USA","Biography-Drama"
"109618","8.2","Tonari no Totoro","1988","Japan","Animation-Family-Fantasy"
