Votes,Rank,Title,Year,Country
"1242346","9.2","The Shawshank Redemption","1994","USA"
"858706","9.2","The Godfather","1972","USA"
"569013","9.0","The Godfather: Part II","1974","USA"
"1204809","8.9","The Dark Knight","2008","UK"
"953232","8.9","Pulp Fiction","1994","USA"
"372162","8.9","Il buono il brutto il cattivo.","1966","Italy-Spain-Germany"
"627356","8.9","Schindler's List","1993","USA"
"309823","8.9","12 Angry Men","1957","USA"
"885169","8.9","The Lord of the Rings: The Return of the King","2003","USA"
"945008","8.8","Fight Club","1999","USA"
"911677","8.8","The Lord of the Rings: The Fellowship of the Ring","2001","USA"
"588007","8.8","Star Wars: Episode V - The Empire Strikes Back","1980","USA"
"992474","8.7","Inception","2010","USA"
"845581","8.7","Forrest Gump","1994","USA"
"514244","8.7","One Flew Over the Cuckoo's Nest","1975","USA"
"796472","8.7","The Lord of the Rings: The Two Towers","2002","USA"
"539421","8.7","Goodfellas","1990","USA"
"658187","8.7","Star Wars","1977","USA"
"879293","8.7","The Matrix","1999","USA"
"179425","8.7","Shichinin no samurai","1954","Japan"
"404905","8.7","Cidade de Deus","2002","Brazil-France-USA"
"724736","8.6","Se7en","1995","USA"
"546992","8.6","The Usual Suspects","1995","USA-Germany"
"614661","8.6","The Silence of the Lambs","1991","USA"
"164354","8.6","C'era una volta il West","1968","Italy-USA"
"205376","8.6","It's a Wonderful Life","1946","USA"
"525207","8.6","Léon","1994","France"
"306783","8.6","Casablanca","1942","USA"
"281622","8.6","La vita è bella","1997","Italy-Germany-UK"
"491770","8.6","Raiders of the Lost Ark","1981","USA"
"577198","8.5","American History X","1998","USA"
"310319","8.5","Psycho","1960","USA"
"238291","8.5","Rear Window","1954","USA"
"74361","8.5","City Lights","1931","USA"
"627654","8.5","Saving Private Ryan","1998","USA"
"290534","8.5","Sen to Chihiro no kamikakushi","2001","Japan"
"314790","8.5","Intouchables","2011","France"
"630329","8.5","Memento","2000","USA"
"96909","8.5","Modern Times","1936","USA"
"548307","8.5","Terminator 2: Judgment Day","1991","USA-France"
"105957","8.5","Sunset Blvd.","1950","USA"
"348017","8.5","The Pianist","2002","USA"
"272352","8.5","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","UK"
"345703","8.5","Apocalypse Now","1979","USA"
"524909","8.5","The Green Mile","1999","USA"
"626207","8.5","The Departed","2006","USA"
"693948","8.5","Gladiator","2000","USA-UK"
"501868","8.5","Back to the Future","1985","USA"
"408424","8.5","Alien","1979","USA"
"800621","8.5","The Dark Knight Rises","2012","USA-UK"
"584363","8.4","The Prestige","2006","USA-UK"
"614770","8.4","Django Unchained","2012","USA"
"194636","8.4","Das Leben der Anderen","2006","Germany"
"93456","8.4","The Great Dictator","1940","USA"
"437511","8.4","The Shining","1980","UK-USA"
"432680","8.4","The Lion King","1994","USA"
"108896","8.4","Nuovo Cinema Paradiso","1988","Italy-France"
"88730","8.4","Paths of Glory","1957","USA"
"627047","8.4","American Beauty","1999","USA"
"500219","8.4","WALL·E","2008","USA"
"171784","8.4","North by Northwest","1959","USA"
"396148","8.4","Le fabuleux destin d'Amélie Poulain","2001","France-Germany"
"235843","8.4","Citizen Kane","1941","USA"
"369587","8.4","Aliens","1986","USA"
"183785","8.4","Vertigo","1958","USA"
"376138","8.4","Toy Story 3","2010","USA"
"76326","8.4","M","1931","Germany-USA-UK"
"131760","8.4","Das Boot","1981","Germany"
"402523","8.4","A Clockwork Orange","1971","USA-UK"
